"","text"
"673"," tan kerja nyatamerintah tuh masih mengkaji gasih damk damknya kalo ga di lockdown makin menyebar makin berabe orang kita tuh bandel bisa aja uda kena dia ngira masuk angin malah liburan kesana kesinimerintah tidak tegas dan lamban dalam menangani covid  virus sam menyebar di indonesia itu adalah tanggung jawab merintahmerintah tidak rlu berskulasi lagi bahkan berlemik "
"674"," karena virus covid  yg sedang dihada oleh indonesia da saat ini adalah virus yg sedang melanda dunia cc terlalu gegabah anggaremeh covid  yg sudah menjadi darurat global"
"675"," k menhub yg tem hari bilang org indonesia gak bisa kena corona sebab makan nasimerintah telah menyiaan berbagai ogram untuk mengendalikan nyebaran covid di indonesia termasuk damknya terhadaekonomi awasovokasilockdownctwittercomecrcebkekmerintah telah bekerja keras untuk mengatasi bawah covid hingga dikeluarkannya himbauan social distancing"
"676"," korban covid juga semakin meningkat generali indonesia juga turut memberikan dukungan atas usahaâ merintah sudah menyiaan  juta masker bedah dan  ribu masker n untuk nanganan virus corona covid stok masker distikan ada mulai besok gak sami  dr jumlah total nduduk di indonesia k merintah singare tong gajih ra jabat litik untuk kerluan menangani covid"
"677"," merintah indonesia menghabiskan anggaran luhan triliun ruah untuk rjalanan dinas dan rtemuan yg tidak rlu merintah serius dalam menangani virus covid di indonesia   covid merintahserius stoolitisasicoronamerintah sertinya enggan utk melarang"
"678"," hanya sebatas imbauan dari esiden jokowi agar seluruh warga indonesia tak mudik demi mencegah nyebaran covid mengimbau ada baik buruknya tak memaksa"
"679"," distiksn ada yg nurut  tak nuruti"
"680"," dilarang saja masih banyak membandelmerintah seharusnya bertanggung jawab kena virus covid bisa masuk ke indonesia"
"681"," sang virus sudah menyebar ke losokdesa sekarang merintah yang bebalmerintah seharusnya bertanggung jawab kena virus covid bisa masuk ke indonesia"
"682"," sang virus sudah menyebar ke losokdesa sekarang merintah yang bebalmerintah seharusnya bertanggung jawab kena virus covid bisa masuk ke indonesia"
"683"," sang virus sudah menyebar ke losokdesa sekarang merintah yang bebalmerintah seharusnya bertanggung jawab kena virus covid bisa masuk ke indonesia"
"684"," sang virus mungkin sudah menyebar ke losokdesa sekarang merintah yang bebal awal januari netizen dah teriakin merintah virus coronamerintah seharusnya bertanggung jawab kena virus covid bisa masuk ke indonesia"
"685"," sang virus mungkin sudah menyebar ke losokdesa sekarang merintah yang bebalmerintah seharusnya bertanggung jawab kena virus covid bisa masuk ke indonesia"
"686"," sang virus mungkin sudah menyebar ke losokdesa sekarang merintah yang bebalmerintah seharusnya bertanggung jawab kena virus covid bisa masuk ke indonesia"
"687"," sang virus mungkin sudah menyebar ke losokdesa sekarang merintah yang bebalmerintah sedang gagamenangani ndemi covid"
"688"," jadi dengan alasan an sangat tidak ntas usaha menyelunduan buruh china menggunakan visa kunjungan seluruh dunia menuturat kedatangan wna china"
"689"," ada a dengan indonesiamerintah sdh sangat memikirkan betul damk yg akan diakibatkan kalu indonesia lockdown bahkan bisa lbh rah dr yg tjd di india"
"690","meskin bebera org teriak agar merintah melakukan lockdown"
"691","tolacklockdownmerintah sdh sangat memikirkan betul damk yg akan diakibatkan kalu indonesia lockdown bahkan bisa lbh rah dr yg tjd di india"
"692","meskin bebera org teriak agar merintah melakukan lockdown"
"693","tolacklockdownmerintah sama masyarakat indonesia kena sih se ga serius itu nangga covid gilaa gw rnoan kesana kemarii a harus nunggu kayak italy dulu baru aware heh a nunggu bu ningsih tinam dulu ya nggak lah goblogmerintah reblik indonesia harus banyak belajar ling tidak study banding ke mov dki terkait nanganan yang seriyus covid ini titikmerintah sat merintah daerah rumah sakit dokter rawat semua bekerja keras utk menangani covid banyak masyarakat menggalang donasi utk mendukung nanganan covid semoga allah swt tuhan yang maha esa selalu meridhoi bangsa indonesia tercintamerintah sat merintah daerah rumah sakit dokter rawat semua bekerja keras utk menangani covid banyak masyarakat menggalang donasi utk mendukung nanganan covid semoga allah swt tuhan yang maha esa selalu meridhoi bangsa indonesia tercintamerintah sat sibuk mau tangkan rakyat nya jika tidak ada kebijakan anies"
"694"," mungkin ledakan korban covid di indonesia serti iran dan itali otoriterdibalikcorona otoriterdibalikcorona via sat harus bertanggungjawab atas meninggalnya warga negera indonesia yang berada di dalam negeri akibat keterlambatan ncegahan nyebaran ndemi covid  dan hentikan semua mbahasan ruu cilaka bantuanhukumgratis ylbhinsancitamaluku bantuanhukumctwittercomxnlscqmerintah sat gak berani lockdown karna tau damk biayanya besar"
"695"," ta untuk influencer ada biayanya merintah sat ga rlu bikin buat covid  ga nya kasitas buat menangani satu indonesia"
"696","  n kalau bisa"
"697"," hanya lewat agenagennya di daerah mda"
"698","  kalau mda mau inisiatif"
"699"," harus izin sat"
"700"," meaning more oe are sufferingmerintah stikan nuhi kebutuhan dasar rakyat selama mewabahnya covid"
"701"," lengka kekurangan kebutuhan kesehatan"
"702"," segera seruanmendesaklmndmerintah sti sdh memrtimbangkan rlu tidaknya lockdown"
"703"," jika lockdown dilakukan efeknya sangat luas dan tidak akan mengurangi damk corona jd kita harus rcaya dengan merintahmerintah nggak akan meneraan kebijakan lockdown krn damk ekonominya bisa menyusahkan rakyat jadi kita musti nya kesadaran buat menjaga diri dan keluarga dg meminimalisir mobilitas dan interaksi dg orang banyak bila tidak tll dibutuhkan merintah menyuruh rakyat dirumah aja"
"704"," dalam situasi ndemi covid yang terjadi di indonesia sementara badan legislatif d ri justru menggelar rirna mbahasan ruu omnibuslaw tolakomnibuslawctwittercomwkrjaonmerintah menginstruksikan nggunaan wajib masker r  ail  sesuai anjuran who nggunaan masker tentu untuk menekan angka kenaikan sitif ndemi global tsb di indonesia semoga covid segera berlalu dan kitastimenangctwittercomyhmwssehcmerintah mengeluarkan kebijakan darurat sil untuk mengatasi wabah covid  hey bung kita ini bukan sedang rang"
"705"," kita ini sedang terserang wabah"
"706"," indonesia sudah nya uu no tahun  tentang karantina kesehatan"
"707"," gunakan itu lol bukan malah darurat sil merintah menangani ndemi covid atau corona virus itu dibilang telat ya emang telat"
"708"," karena harusnya sejak corona mewabah di wuhan saat itu juga indonesia mestinya langsung tanggadan ling tidak sangatlah ketat khusus ndatang dari negara luarmerintah memberikan raturan"
"709"," imbauan dll agar seluruh warga dat terhindar dari ran covid sebagai salah satu tujuan nkri yaitu melindungi segenabangsa indonesia dan seluruh tumh darah indonesia mbukaan uud nri  alinea ivmerintah memang suka menyembunyikan kebenaran dari data ini bisa menjadi rujukan kita media serta merintah asing banyak yg mengklaim bahwa merintah indonesia tidak sigadan cenderung tidak transran terkait nanganan covid ctwittercomggaasmerintah memang ceroboh dalam melakukan nangkalan terhadacovid  dan ceroboh juga dalam nanganan kebijakan dari negara lain yang tan meneraan lockdown seharusnya bisa menjadi contoh untuk indonesia serti kebijakam singara dan koreamerintah memang ceroboh dalam melakukan nangkalan terhadacovid  dan ceroboh juga dalam nanganan kebijakan dari negara lain yang tan meneraan lockdown seharusnya bisa menjadi contoh untuk indonesia serti kebijakam singara dan koreamerintah meliburkan sekolah  sebagian gawai agar masyarakatnya ttdi rumah menghindari covid"
"710"," ta mereka malah lang kamngrefreshing memanfaatkan waktu gak aneh dong"
"711"," kita kan tau indonesia negeri bar barvmerintah masih memikirkan damk ekonomi"
"712"," untuk bb aja anggran ad sdh sekian triliun"
"713"," alagi klo sam lockdown mesti ada yg harus di korbankan mulihan faktor ekonomi g akan bs cet walaun wabah ini sdh berhenti stategi nya cuma mengimbangimerintah masih main drama terus   total kasus sitif virus corona covid di indonesia bertambah menjadi  orang ada nambahan  kasus sitif corona di indonesia merintah lakukan yang terbaik kaya gini maksudnya bro a rlakuan menteri yang menyelekan covid sebelum terdeteksi di indonesia ctwittercomasgmrdymjmerintah kurang tegas mengambil ketusan"
"714"," hari ini bilang a besok bilang c"
"715"," yang lain bilang d arahny berubah"
"716"," ta tujuanny tidak damk yang sti ekonomi melemah"
"717"," so do lockdown aku yakin k jokowi lagi dalam dilema"
"718"," ngurus ibu kota baru jadi wacana sementaramerintah kurang tegas dalam menangani masalah covid"
"719"," akibat dari corona virus tidak langsung bisa dilacak dan nyebarannya sangat amat cet yuk ease orang indonesia "
"720"," tiktokan aja dirumah"
"721"," dari da keluar rumah dan meningkatkan chance untuk menyebar coronaindonesiamerintah kita sebelumnya sombong"
"722"," covid katanya tak akan masuk ke indonesia"
"723"," ditambah berbagai kebijakannya yang tak memihak rakyat"
"724"," wajar jika kini kita hancur di segala bidang mari selamatkan indonesia dengan islam kaffah merintah kita sebelumnya sombong"
"725"," covid katanya tak akan masuk ke indonesia"
"726"," ditambah berbagai kebijakannya yang tak memihak rakyat"
"727"," wajar jika kini kita hancur di segala bidang mari selamatkan indonesia dengan islam kaffah merintah kita belum kekiran utk lockdown mas"
"728"," saman ngerti nggak damk lockdown buat indonesia  o iyo merintah mam menanggung beban iku duite negara ki orak cukumas rekonomian bakal anjlok ora lockdown wae dollar tembus rb lhomerintah kerja keras tan rlu banyak bicara rlukah lockdown jika sien cuma dibawah  indonesia tak kan mam atasi krisis ekonomi dgn cet damk lockdown ngetik memang mudah ta yg sulit itu ternyata berkirmerintah kalo mau lockdown mah gamng tinggal rilis dekrit kaya italia juga langsung lockdown dana la sanksinya  masalahnya damk jangka njangnya seringkali gak dikirin sama yang berharadilockdown kalo kejadian baru nyesel"
"729"," kan konyol merintah juga mikir damk dari lockdown itu"
"730","sekarang aja belum lockdown nilai tukar ruah naik jadi rb alagi sam lockdown bisa bisa rb itutrus indonesia juga bahan ngannya kebanyakan imr"
"731","terutama jakartajadi merintah mikir itu jugamerintah ini serius gak sih nanganin ndemi covid di indonesiamerintah indonesia"
"732"," miri merintah amerika yang arogan dan de mams bahwa covid ga akan masuk ke negara sedangkan masyarakat "
"733"," rsis banget sama warga italia yang denial dan ngeyel disuruh social distacing dan menghindari fasilitas blik jika tidak mendesakmerintah indonesia terlambat dalam antisisi nanganan covid karena ada tah mengatakan lebih baik terlambat darida tidak sama sekali dahal seharusnya mencegah lebih baik darida mengobati kritis boleh bego janganmerintah indonesia terbitkan global bond sebesar "
"734"," miliar usd untuk mendukung mbiayaan nanganan covid  ini nerbitan bond terbesar dalam sejarah nerbitan bond denominasi dolar as olh merintah indonesia ayo kita dukung merintah dalam hal ini twittercomuhhzmlmlkmerintah indonesia telah berbohong soal data coronavirus covid soal jumlah dan sebarannya soalnya di dki jakarta  jawa barat saja sudah ratusan bahkan ribuan kasus yang terkonfirmasi makanya gw ga rcaya sama rezim ini soal covid hollywood vscomerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid indonesiatanggaoronactwittercomjjflneibmerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomxhqnvoxkqmerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomsnrlczdmerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomoezvxxvbcmerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomlfgwsrlyymerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomgkealilmerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomgcsbjifyfmerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomfsymfvmerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomexsgjrqhamerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomtxoxfmimerintah indonesia sudah serius dalam menghada dan mencegah nyebaran covid ctwittercomckkfusmerintah indonesia sudah berusaha luar biasa mengatasi musibah covid bravo indonesiamerintah indonesia sdh maksimal dan meredam jumlah korban covid  tdk seekstrem usa yg jumlah nduduknya hamr sama dgn kitabahkan dgn snyol"
"735"," italy dan irankita tdk masuk toten covid imf memuji merintah krn ncaian ekonomi msh  besar china"
"736"," india"
"737"," inamerintah indonesia sangat menyeramkan buat nanganin covid takut ekonomi hancur bukan kar ekonomi ta aku sendiri mikir uang bisa di cari"
"738"," nyawa dan kesehatan gak ada gantinyamerintah indonesia sangat menyelekan covid sehingga hingga saat ini banyak korbanmerintah indonesia nya cara sendiri melawan nyebaran covid dukungjokowibasmicoronactwittercomrkjhuukqmerintah indonesia nya cara sendiri melawan nyebaran covid dukungjokowibasmicoronactwittercomdmwjvhrgmerintah indonesia nya memble k makanya covid  ini berkembang biak secet kilat di indonesia inimerintah indonesia menutu rkembangan covid"
"739"," hal ini rsis yang dilakukan klan co menutu wabah zombie di series tv kingdommerintah indonesia memang membuat kesalahan karna tidak tanggadalam kasus covid"
"740"," dan yang saya tau hanya gubernur jakarta k anies baswedan yang sudah mengawasi virus ini dari januari"
"741"," ta merintah geram dan bilang k anies ini hanya menakutnakutimerintah indonesia lu kalau covid ini ada yang modelnya terr ta tan gejala atau istilahnya carrier"
"742"," orangorang ini yang sana sini jalan ngak sadar nyebarin nyakit"
"743"," mereka juga ngak salah karena mereka ngak menjalani test"
"744"," sehingga mereka ngak jaga dirimerintah indonesia konyol sekali gimana sih caranya s k dan aratnya duli sm masyarakat emangnya gamng klo semua disuruh isolasi sendiri s sitif covid  rumah setak isi  orang"
"745"," ngumt dimana kok malah denouncing dengan bikin acara dan bekal jamumerintah indonesia gk karuan ya seharusnya masalah covid ini tuh udh d ndangan lo"
"746"," secara indonesia tuh bkn temt kedua atau ketiga yg terkena virus ini malah nanganan dan ncegahan virus gajelas harus gmn"
"747"," kebijakan aja masih mikir untung rugimerintah indonesia enggan memrlakukan lockdown karna takut damk ekonomi ke ngusaha yg mayoritas cina nasib indonesia terlalu bergantung dgn keberadaan mereka indonesianeedleadermerintah indonesia diminta terbuka dan tegas dalam tangani virus corona anjloknya ruah dan ihsg sebagian diakibatkan karena ketidakrcayaan hak luar bahwa kita serius menangani covid  iniâ ksbyselamatkanindonesiamerintah indonesia di fase awal ndemi covid covidctwittercomfykttmerintah indonesia benerâ questionable banget bisa atau enggaknya ngurus negara kalo kagak bisa ngurus negara ya turun aja"
"748"," overhaul semua sistem negara ini"
"749"," ini negara udah busuk sam ke akarânya"
"750"," merintahan sat gak becus buat nangkal covid yang udah nyebar ke indomerintah indonesia awalnya meremehkan covid feb "
"751"," menkes terawan menolak saran rhitungan dari universitas harvard yg memrtanyakan klaim tidak ada kasus covid di indonesia dan justru menegaskan ntingnya berdoa demi mencegah virus merintah indonesia cq kemenkes memang amatsangat tergaga menghada covid namun itu bukan alasan untuk menghadirkan narasinarasi yang keliru salam sumber merintah hrs tegas dan kerahkan slrh sumber daya agar nularan covid d diminimalisir klo gk tegas"
"752"," ditmbh dngn sifat rkyt yg tdk bs disiin"
"753"," maka indonesia bs jadi negara dngn sitif covid terbnyk ditmbh dngn minimnya sarana dan asarana medis"
"754"," maka korban akan bnykmerintah harus tegas kebijakan jangan menjadi bulanbulanan mangku kentingan"
"755"," yg mnkn memiliki kentingan bangsa bercu dg waktu"
"756"," gagal berarti covid terus memakan korban nauzubillahi minzalikmerintah harus mengambil tindakan tegas guna menyelamatkan nyawa warga negaranya jumlah orang yang sitif terinfeksi virus corona covid diâindonesia terus bertambah dengan signifikan lockdownnasionalserentak lockdownnasionalserentakmerintah harus melakukan uya yang serius dalam menangani covid  merintah jg harus bisa menjamin kebutuhan hidurakyatnya"
"757"," bisa memberi rlindungan keda rakyatnya"
"758"," dan melengka kebutuhan kesehatan harussssssss janganbercandainiseriusmerintah gratiskan listrik selama  bulan bersatumelawancorona indonesia covid indonesiamajuctwittercomjbukljjxmerintah gak serius nanggen covid sama serti yg dilakukan italia awal nyebaran covid lalu"
"759"," dan sekarang gimana italia indonesia mau niru italia tinggal nunggu waktu kalo gini ceritanyamerintah gak bisa ngasal nge lock down suatu wilayah "
"760"," banyak damk yang terjadi rlu analisis lebih lanjut kalau mau isolasi suatu wilayah "
"761"," alagi ekonomi kita lagi resesi jadi gak semudah itumerintah didalm nanganan a covid di indonesia dinilai sngat lmbat didam menyika keadaan "
"762","ncegahan covid salah satunya adalah mengenai ralatan test kit untuk covidbagaimanakah merintah kita mengambil saml nya yang bukan hanya dari screen suhu tubuh sajamerintah didalm nanganan a covid di indonesia dinilai sngat lmbat didam menyika keadaan "
"763","ncegahan covid salah satunya adalah mengenai ralatan test kit untuk covidbagaimanakah merintah kita mengambil saml nya yang bukan hanya dari screen suhu tubuh sajamerintah dan semua masyarakat yang sesumbar s bilang covid nggak akan masuk ke indonesia karena kalah sama masuk angin"
"764"," endorse yutuber"
"765"," tetamengizinkan wisman masuk"
"766"," etc etc"
"767"," semoga semua dilindungi oleh yang maha kuasamerintah dan rakyat indonesia bekerja keras utk mengatasi ancaman virus covid "
"768"," sebaliknya sebagian kecil mereka masih belum move on kritik itu rlu"
"769"," ttkritik beda dengan nyinyir litisasi berjalan tan rasa kemanusiaan klaim kebenaran sehakmerintah dan d sudah seharusnya stombahasan omnibus law utamakan kesehatan dan keselamatan rakyat indonesia dari ndemik covid tolakomnibuslawctwittercomwtqzdxrmerintah dalam memberlakukan kebijakan adalah utk seluruh warga negara indonesia ayo bersama dukung merintah melawan covid n sangat mendukung laksanakan kebijakan merintah yg disamikan oleh esiden joko widodo"
"770","â direktur utama n zulkifli bukan tidak duli tentang banyak nya kasus baru setiahari nya"
"771"," ta yang di fikirkan merintah adalah damk jangka njang untuk kesejahteraan rakyat nya kalau lockdown nanti yang miskin makin miskin"
"772"," yang kaya jadi miskin kan nanti negara juga yang retmerintah buat aturan ini bukan untuk kentingan ibadi"
"773"," ta untuk kita semua untuk indonesia"
"774"," biar negara kita bebas dgn virus covid ini"
"775"," ayolah kesadaran diri kalian"
"776"," bantu kami tenaga medis dgn cara dirumah ajamerintah bisa ga ya menutuakses wna yg dtg ke indonesia saat ini  terutama dari china gimana masalah covid mau selesai kalo dari luar terus berdatangan mberlakuan mbatasan sosiaka berskala besar setidaknya merintah sudah mengeluarkan sebuah kebijakan untuk mengatasi nyebaran virus covid  di indonesia viruscorona indonesialawancovid satukanvisicekalcoronactwittercombdbtqmbatasan sosial oleh merintah"
"777"," semoga menumbuhkan jiwa da solidaritas sosial antar sesama masyarakat indonesia untuk memerangi covid ayo saatnya bersatu utk nkrimbatasan sosial berskala besar bb merukan uya merintah dalam rangka memutus rantai nyebaran virus dan rcetan nanganan covid  di indonesia dirumahaja demi kebaikan bersama kan bersamalawancovidctwittercomxcciufqzyjabat dan merintah negara lain ketita wabah covid italy"
"778"," ancis"
"779"," filina"
"780"," malaysia"
"781"," bahkan china  lockdown indonesia  tka dari china masuk indo biasa aja dan raâ ga tau dan yang ngevideoin dituduh nyebar hoax    hebat kan nyakit dirsilakan masuk hl ini yg ditunggu oleh rakyat indonesia sebelum merintah buka rekening donasi"
"782"," hl ktnya s kota bekasi setelah ditong utk gaji g honorer"
"783"," skg mau ditong lg utk bantu nanganan covid "
"784"," dikir gajo s gede kali yastilah merintah sudah memikirkan damk dari mberlakuan lockdown"
"785"," makanya merintah sti ga mau membabi buta umumkan status daruratbukannya ga mau transran atau hanya mementingkan ekonomi lebih dari itu semua ask di rtimbangkansti salah survey nya nihmasa didunia indonesia mantakrena kercayaan rakyat nanganan virus covid oleh k jokowi dan merintah  sedangkan ra bangsatbangsa menghujat keetrongmyesident keehefaith keeourdistancectwittercomhjrzcmusti lahsaya juga ikut merasakannya di tv banyak yg janji mau ngasih bantuan buat rakyat yg kurang mamsam saat ini cuma omdo doank saya juga yg wirausaha kena damklg la dollar meroketra tenaga medis berhak mendatkan a lengkadan merintah berkewajiban menyediakan a lengkauntuk ra tenaga medis yg berjuang merawat dan sien covid itu kalau merintah ri mau serius menangani nularan covid di indonesiara covid  segera mudikindonesia amanayookita usir mereka dengan tuhi himbauan merintah jatimbergerak jatim lawancovid jatimsehat ldajatim humasldajatim kabidhumasldajatim kabidhumas ldajatim jolaliguyublur guyublur jogojawatimur guyubctwittercomeweliwandangan dua sisi yg sangat berbeda teta berngaruh besar salut esiden ghana indonesia masih memikirkan damk dari lockdown ling ga ham ama ketusan merintah indonesia bebasin na buat mengurangi nyebaran covid baru kali ini kecewa berat ama merintah dengan ketidak masuk akalannya dalam memerangi covidlagi yg ngucateriak lockdown"
"786"," gk m bgmn damk nya lebih besar dari virus nya klau gk di rsiaan secara benar"
"787"," imbas nya menyeluruh gk cmn yg kaya aset nguantah kmn"
"788"," yg miskin lebih brutal lg jd kalau gk m sntai ikuti arahan merintah jgn dkit saling menyalahkanksenator kena semua bantuan utk wabah covid ini semuanya dgn syarat tolong lah k jendral dari merintah sat sam merintah daerah bantuannya dengan syarat  ketentuan berlaku ada a dengan negara indonesia a memang watak kita lebih sadis dr negri tetanggakde lakukan lockdown segera"
"789"," china berhasil meminimalisir damk coronasar telah bereaksi negatif akan wabah ini"
"790"," ini terjadi di se antero jagadtindakan tegas di rlukan buat selamatkan warga kitajgn lamban k de k waktu bak bilang corona tdk masuk indonesia"
"791"," saya tenang n rcaya"
"792"," ta faktanya sekarang terlambat semua skrg bak tidak ambil langkah lockdown"
"793"," a saya hrs tenang dana bukannya ada k dana ndah ibukota"
"794"," dana influencer"
"795"," smua bs dialihkan dl utk damk lockdownk"
"796"," kena batam dahal ecentrum nyebaran covid indonesia di jakarta"
"797","ada tanah merintah seluas ha juga di lau jawa lalu"
"798"," kena istana menolak usul mov dki soal karantina wilayah di dki jakarta"
"799"," yang mana bisa menekan angka nyebaran semangat k smg amanahk s jokowi benar lockdown hanya menambah masalah da negara berkembang terutama masalah ekonomi damk utama lockdown k s jokowi benar lockdown hanya menambah masalah da negara berkembang terutama masalah ekonomi damk utama lockdown k klu mau dibebaskan saya tidak sekat"
"800"," klu merintah memulangkan kembali kekeluarganya selama covid masih ada di indonesia ini saya sekat k"
"801"," setelah covid musnah dan sudah stabil"
"802"," ra koruornya di jmt kembali dan melanjutkan hukumannya saya rasa itu lbh baikk harto berjasa uindonesiabegitu jg byng karnodan beliau sdh selesaisdh rna tugasgak usah lg bermemory skrang di d mata ada ndemi covidbantu merintahgak usah koar ii udah dibubarin k hartok fz merintah indonesia cukusigamenekan rsebaran covid  lihat data berikut jgn melulu nyinyir justru ndemi kedunguan itu harus segera di eliminir dari d emg tuksi anggota dewan itu hrs nyinyir terusmenerus twittercomaitsfwgfsyk de emang the best covid lagi tamasya k de dari orang ke orang semoga kebijakan merintah benar bisa mengamankan indonesia"
"803","k atau sian yg akan memimn indonesia ke dennya tolong jadikan ndemi ini lajaran ya jgn sami kita semua tidak siadengan damk dari climate change karena gaakan ada kata lockdown atau karantina wilayah utk hal ini "
"804","k atau sian yg akan memimn indonesia ke dennya tolong jadikan ndemi ini lajaran ya jgn sami kita semua tidak siadengan damk dari climate change karena gaakan ada kata lockdown atau karantina wilayah utk hal ini "
"805","k kalo nggak mau nge lockdown se indonesia biarin merintah daerahnya me lockdown daerah nya sendiri bukannya itu malah baik dan mengurangi nyebaran covid  saya sering tidak habis kir k"
"806","k damk manis dari lockdown wuhan ekonomi cet lih "
"807","ham stafsus ga ngaruh buat sbg ordal lebih tau awalnya merintah meremehkan adanya bahaya covid menteri slebor sami diingatkan who justru buzzerr liharaan gunakan lilin utk bakar keadaan sekarang waktunya buzzerr itu dibubarkan sti indonesia damai"
"808","ham gak sih kaya udah cak sama ulah merintah rakyat indonesia udah terlalu baik hati galang dana am triliun teriliun untuk covid jangan sam ya merintah kehilangan kesabaran ra rakyat yang baik hati ini"
"809","ham banget kalau indonesia lockdown damk ekonominya bakal njang but seriously kita harus bertaruh nih antara duit tetemasuk dengan kemungkinan virus menyebar tidak terkontrol dari berbagai sumber itali dengam sanitasi terbaik di ero aja kewalahan"
"810","gi mbabro  masbro keseriusan merintah agar umkm naik kelas tidak mainmain hulu dan hilir benarbenar dirsiaan agar umkm indonesia naik kelas dan bertahan di tengah ndemi covid yg menyerang dunia ctwittercomthsaodm"
"811","dahal negara lain yang terkena damk lockdown sti sedih banget berharanegaranya ngga di lockdown beda dengan indonesia malah minta di lockdown warga indonesia belum mengerti senuhnya damk dari lockdown bagi kebutuhan mereka dan tentunya rekonomian negara"
"812","dahal harus socialdistancing untuk menghindari keramaian buat mencegah virus covid ta di indonesia malah dibuat ajang liburan corona nanti s terjangkit virus nya malah nyalahin merintah bilang gk melakukan ncegahan "
"813","dahal dki itu termasuk satu dari segelintir ovinsi yang siajika harus lockdown damk ekonomi ke den tan lockdown bisa lebih disastrous dahal "
"814","dahal diminta jangan nik oleh merintah teta ketidak sian rs di indonesia menangani covid membuat masyarakat tambah nik "
"815","dahal damk diberlakulannya omnibuslaw lebih mengerikan buat ekonomi indonesia dibanding lockdown eh buat ekonomi rakyat kecil indonesia maksudnya nanam modalinvestor jabat sekalin si da doyan fuck "
"816","da waktu terbaik utk antisisi itu merintah justru sibuk dagelan  terus datangkan tka dari cina  indonesia tak memn virus corona  covid sembuh sendiri  infokan kasus covid hanya bikin kenikan  orang sehat tak rlu masker  bla bla bla "
"817","da gamng banget dah ngomong lockdown dahal semua ada rutenya bukan ngomongin gaada kemanusiaanya ta damk setelah lockdown juga bahaya bahkan lebih bahaya darida corona sedangkan negara kita ini emang bisa dibilang belum siabuat neran lockdown"
"818"," jokowi sti telah banyak melakukan simulasi lockdown total wilayah ini dan melihat a damk yang akan terjadimakanya jokowi ga akan melakukannya "
"819","otaknya dintat yg divideo itutangkaorg itu lisigk ngrti damk yg sngt buruk dri lockdownhingga mau jd ofokator"
"820","otak kek kalo dibiarin tan lockdown kerugian jauh lebih besar termsk damk ekonominya buat a uang ini urusan nyawa "
"821","orang da heran dengan angka statistik covid di indonesia dahal kan k yuri udah bilang di channel om deddy kalo merintah emang mengatur data ta mereka juga ga akan bohong jadi menurut gw emang datanya bakal dikeluarin dikit aja sesuai keadaan yg diinginkan"
"822","orang serti ini sebenernya udah ham damk lockdown jika diteraan di indonesia ketika da masanya negara sudah chaos dan lumh karena lockdown corona mereka akan lantang berteriak tinggalkan sistem gagal thogut kembali da fitrah illahiah tegakkan khilafah"
"823","orang orang indonesia ini da kena ya nya otak ta ga di ke di liburin  minggu malah liburan nyuri hand sanitizer di rumah sakit gaduli sama uya merintah meminimalisir nyebaran covid giliran da kena aja congor tu nyalahin merintah ngentot"
"824","orang kaya kabur ke luar negeri tujuannya a aman dari covid  bukan itu tujuannya ta di luar negeri jelas kebijakannya nanganannya ofesional jadi mereka lebih aman tinggal di luar negeri di indonesia hoax membuat nik merintah terkesan bingung"
"825","orang indonesia komentarin merintah karna katanya gaada uya buat nanggulangin covid giliran ada uya dari merintah disuru diem dirumah malah rgian ganting hadeh"
"826","orang indonesia masih banyak bgt yg batu  ngentengin covid berdoa sm allah oke tikhtiar tetemaksimal atuh jgn sok ngide masih rame sholat jamaah di masjid kalo udh ada himbauan dari merintah buat sholat di rumah curiga yg sok ngide biasanya garnah ke masjid neh"
"827","orang indonesia tuh kenasih nyalahin merintah no  ta dia sendiri yang tidak menjaga dirinya dengan baik mending dia aja yg kena a gak mikir ntar nular gimana rno bgt dah gw sama virus covid ta liat kelakuan mereka bikin ngelus dada "
"828","orang arabmesir tunduk keda merintahnya sehingga orang yang terinveksi covid bisa dibilang tidak ada lah kita di indonesia kebanyakan orangorang ngarab yang nggak mau tuh sama merintah jadinya indonesia masuk  besar nularan covid ngeyel sih"
"829","orang arabmesir tunduk keda merintahnya sehingga orang yang terinveksi covid bisa dibilang tidak ada lah kita di indonesia kebanyakan orangorang ngarab yang nggak mau tuh sama merintah jadinya indonesia masuk  besar nularan covid ngeyel sih"
"830","oi merintah untuk memberlakukan mbatasan sosial berskala besar sudah tet bagi daerah yang tingkat nyebaran wabah covid  nya tinggi tet bila dilihat dari ask ekonomi maun karateristik masyarakat indonesiayang nuh ragam sosial dan budaya ctwittercomulerdr"
